id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
NA,NA,"""You Have Everything You Need"" Mural",R House,Mural,painted mural,in place,2022,NA,Kim Loper,NA,315 W. 29th Street,Baltimore,MD,21211,NA,NA,NA,NA,NA,NA,Remington,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,District 14,District 43A,North side of R House building,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.62258028069488,39.32187389520142
NA,NA,"""Our Baltimore"" Mural",NA,Mural,painted mural,in place,2023,NA,"TurningArt, Andy Snair, Eric Abecht",NA,200 E. Pratt Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inner Harbor,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.61162532165056,39.28691671903578
2014.012.PfA.IaRan,NA,B'MORE Birds: The Blue Jay,NA,Mural,mural,in place,2014,NA,Iandry Randriamandroso,Male,5219 York Road,Baltimore,MD,21212,NA,"Baltimore Mural Program (BOPA), Percent for Public Art (BOPA)",NA,NA,NA,NA,Woodbourne-McCabe,Greater Govans,Greater Govans,District 4,District 43A,Located on south wall,Outdoor,NA,NA,NA,NA,NA,Mural,-76.609603,39.35349
NA,NA,BUS,Eastern Avenue and S. East Avenue,Sculpture,bus shelters,in place,2014,7/19/2014,mmmm…,NA,3134 Eastern Avenue,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Highlandtown,Patterson Park North & East,Patterson Park North & East,District 1,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Sculpture,-76.57163905442819,39.286694467713616
NA,NA,Waverly Commons,Waverly Commons,Mural,painted mural,in place,2022,NA,"Caroline Lampinen, Kait Kluse",NA,432 E. 32nd Street,NA,NA,21218,NA,NA,NA,NA,NA,NA,Abell,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60990114757394,39.32727544022057
1999.013.BMP.KyWin,NA,[Daisy flowers mural],NA,Mural,mural,in place,1999,NA,Kylis Winborne,Male,801 McCulloh Street,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Seton Hill,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,East wall of Arena Players' Building,Outdoor,NA,NA,NA,NA,NA,Mural,-76.62249099999998,39.298633
1982.003.XXX.JCEng,NA,Unknown,Edmondson-Westside Sr. HS,NA,"print, wood",NA,1982,NA,J. Craig English,Male,4501 Edmondson Avenue,Baltimore,MD,21229,NA,NA,NA,NA,NA,NA,Uplands,Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,District 8,District 41,NA,Indoor,NA,Edmondson-Westside Sr. HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.69151813445788,39.29334251318019
1977.015.PfA.FrSha,node/4623054203,Seal,Margaret Brent ES,Sculpture,bronze,in place,1977,NA,Frayda Shalowitz,Female,100 E. 26th Street,Baltimore,MD,21218,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Charles Village,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 12,District 43A,Entrance to pre-school,Outdoor,NA,Margaret Brent ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.615137,39.319399
NA,NA,Sankofa,Oriole Park at Camden Yards,Mural,painted mural,in place,2021,NA,"""Ernest Shaw, Jr.""",Male,333 W. Camden Street,Baltimore,MD,NA,NA,Birdland Murals,NA,NA,NA,NA,Stadium Area,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,NA,Outdoor,NA,Oriole Park at Camden Yards,NA,NA,NA,Mural,-76.62117165684043,39.28469655324449
NA,NA,North Avenue Rising,NA,Mural,painted mural,in place,2021,NA,Megan Lewis,Female,1601 North Avenue,Baltimore,MD,21217,NA,NA,NA,NA,NA,NA,Penn North,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,District 7,District 40,Indoor - inside subway station at Penn-North,Indoor,NA,NA,Mayor & City Council,NA,NA,Mural,-76.6425717952648,39.30973572658792
NA,NA,[Open Walls Baltimore mural],NA,Mural,mural,in place,2012,NA,Josh Van Horne,Male, 1913 Guilford Avenue,Baltimore,MD,21218,NA,Open Walls Baltimore 1,NA,NA,NA,NA,Barclay,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 12,District 45,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.611619,39.311767999999994
NA,NA,Break Through,German Park,Mural,painted mural,in place,2017,NA,Julie Anne Horton,Female,2411 Linden Ave,Baltimore,MD,NA,NA,NA,Art@Work Program (BOPA),Jache Haynie,NA,NA,Reservoir Hill,Penn North/Reservoir Hill,Penn North/Reservoir Hill,District 7,District 40,NA,Outdoor,NA,German Park,NA,NA,NA,Mural,-76.63573,39.314379999999986
NA,NA,"Learn, Grow, Evolve",NA,Mural,painted mural,in place,2017,NA,Megan Lewis,Female,3198 Old York Road,Baltimore,MD,NA,NA,NA,Art@Work Program (BOPA),Kenneth C. Clemons,NA,NA,Better Waverly,The Waverlies,The Waverlies,District 14,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60878000000001,39.32713
488,NA,Memorial Stadium Facade,NA,Historic Object,architectural salvage,demolished,1950,4/20/1950,Brooke R. Maxwell,NA,1096 E. 33rd Street,Baltimore,MD,21218,NA,Historic Monuments (CHAP),NA,NA,L.P. Cook and Company,NA,Ednor Gardens-Lakeside,The Waverlies,The Waverlies,District 14,District 43A,33rd St. between Ellerslie Ave. and Ednor Rd.,Outdoor,NA,NA,NA,NA,NA,Other,-76.60147339999999,39.329319099999985
