ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
2002.002.BMP.DaHes,Inertia Study,2002,3500 Hillen Road,,David Hess,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,Mergenthaler Vocational and Technical HS,Mergenthaler Vocation H.S. entrance,Mergenthaler Vocational and Technical HS,Outdoor,,Five large circular objects with hole; looks like donuts or bolts,"2002.002.BMP.DaHes-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/1N61HvRf36m04ie8Z9tYgQ/yhrhCuFm_Q7rqgcS0MDZnVhfEdl_jKthG9u7qj-tmeZWFohfxkx8Fb4Blauv_khrZi4SwW4C66JZV_ROtDUTDw/OCNIoPIn5UpgS1Cnky29thP8DwS1btgfSdqh056kn4M),2002.002.BMP.DaHes-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mWYLgHlJr2zh7-tt7cHJ_g/RSzgOrM9V08S6QCzon9Egfn9pHzGa_ix-eG39nqJNOtEdW1PUV86_x7glCgbaRetGBOKJqmxUA-oIiGkWNZUhw/x7hpoDTKiiA6Eg4TqRL69zUOzztr-LujP1TBUKvkdHQ),2002.002.BMP.DaHes-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/QiG8iGEQC1EGmTaF4y52Nw/K9TzeqebZdyQnraeeDvOMplz691F7vs-q_k9u9wLF8e85BnX8n1PcGulIDGHqwnfgPGvtVm5EkTHMkffLs0PqQ/iBCFaAq9Z_jj2Xc-zIkQCJQ7S8mW8m3NAxm73v8qnIA),2002.002.BMP.DaHes-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/GKdky87Ht4HeTw7D0AQS2A/FRH3QTumIlybKqlcDpJXcWcadYzo8xQyaMbpjtH4MUh1CJg-ltAp4wXhYRTBTUzQ3jeFnkh0pXlxxzXv0KlF2Q/X9EiJZBr1Vwra6FTRNEt89Xte3iMZWlb1wPw2ROaFK0),2002.002.BMP.DaHes-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/U28pBOMvRh1QNrKPmkY5ZA/-6gyintZvDfRhkV7ov21nphaaMacw5lsZKFmuhV55IrICZ9kKe_mx_uqMrODIOiARcXPfsWzFOhCIUgk-EIl8g/-DHU-encNV80JZFDn3VI6RdVHvT8RqQrrzKaasnB0Pk),2002.002.BMP.DaHes-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/70QJazu0bC6rrh-FkVaFNg/hwk3cVv0GkOTBCd2_vKlLIcUu5IbfrVvmMxJj6Doy4NIwSVdB5wI4tmqaHB7x9oKRId0JqihJoSLeJ9O0bI_ng/Lv0PR38TKQwHTPDbsco0xSGiL1AQVcO8MGmrhSbgOko),2002.002.BMP.DaHes-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/onchhwMiZ-xo6pF-gKVQRg/kRT4SYE_7FX2yvMtasYKn-AECgmCrvIfQvhV6mtdKo-GvU3BYTmWoRR0DIuOenuhf3fUmlYLh5D4_CFfhmDYcw/SZPe697rKhmFDQZZl9liXsHiXEKZixp3pS0mEsjahB4),2002.002.BMP.DaHes-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/oJElw23FRNPHgRN2jNOO5w/BaiTGdpt7xsniiHGUhwKIDVi-w0mHB2IcThaWyp5lqc9y0majPZ7HWwcIFjk01KH5iWLe5HJJrmu9uWZHgs_oA/thth1ctHre7jaTIMAlP-JTXcpTbzcvKg9AN17CgFIUo),2002.002.BMP.DaHes-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/QwTEXpeS3MuM1zEZanfMxA/W9ya5djCzEieLYpa4vWETJDpn6TB9O_9oOoAZvldEOt_hy4pf2_VMGbLhEBUEyTHCVfiKTutHeA2T9_ZD3MVpg/9goou1mBFzcC-yPWjdpiF7N8l4X3RB_oX0PS0p3Wh7w)",,,,Male,,"Dirty, needs cleaning",,,,,,14,Ednor Gardens-Lakeside,Northwood,7964,,Condition assessment (2005),"Dirty, needs cleaning",,39.332551,-76.590880,12/4/2022 7:45pm
2002.005.XXX.FrKai,Johnny Unitas,2002,1101 Russell Street,,Frederick Kail,Sculpture,in place,,,,,,,10/20/2002,,Baltimore,MD,21230,M&T Bank Stadium,"Unitas Plaza, main entrance",,Outdoor,bronze,bronze sculpture of Unitas throwing a football,"756c_Kail F_2002.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/0yPeBOHOHVi-386aC2fKpA/sMiEGrWWcaUnwVpHJChbt-BM-tLkjihgsFolaWr-xNa_hjBMx5iEz9zL8T-uKqXx/KiPjYjOVZ9Yxj5hIHRYmR0eNwPIeb4Kdjo5h4Waa-PQ),756b_Kail F_2002.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Kx2mAROCTKSMJ1PtBxsdoQ/8ck1QfsPwKQVVWWjnhEUJKlvKLt1ig_sz78w4VvvqGD5uNWmviDq1cQqd3m05FNU/qeS5QPmCDvTFIaSxE3EBo-Ri3uceFBpQjZerXma73NY),756a_Kail F_2002.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/5Ium3kgfbIxmSjv4kUr63Q/rmNnxp8RVBffnmTYKeHD83IEsBBKroRoQcYrrVK8gd-80ZjYB0doe2QaAfivBvJ0/qpU3XXPV95n0H53efKFYf0a6T6OIKZ23kvVtNETjAYU),756_Kail F_2002.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/dVd5p2P5nPwj23Y-DWdgyA/NS8ki_qa_fnZgvVaIPlOP3A3nqonVygJguggxNH5WfX-zduJRFGePI22MbB0sbCH/jRQi4GjLBv6HT7R5jgSazWp6SJIO3MRyBni5TPJMaqA)",Johnny Unitas,Excellent Condition,,Male,,,checked,,,,node/7834057297,10,Stadium Area,Washington Village,3229,,Condition assessment (2009),Great Condition,,39.279109,-76.622075,12/4/2022 7:45pm
2002.004.BMP.BrHon,silence,2002,109 W. Melrose Avenue,,Brece Honeycutt,Sculpture,in place,Private Property,,,,,,,,Baltimore,MD,21210,Bryn Mawr School,Located in courtyard by Margaret Hamilton Bldg. and dinning hall,,Outdoor,"steel,slate,copper,glass",Seven lecturns with binders,"2002.004.BMP.BrHon-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/UviBpcN-WOUj8OhiRsuuyg/Oo7_yoXPZYVajk9D1ocBYIlNjzQGNBbt9Bj9EYJIqhQbGrVdczsPtg-J6XHBW1HuzKGLCAcr8moZ-HqlrzZ4Gg/wClrdVm5O-5bU_f9rd8HEBnNzZGkQh-HRDQbVO3EDUo),2002.004.BMP.BrHon-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/GhHiQecTPHfgOahAtxUUbg/2XCxYlWU2pJOfdOw_p4OFD2iB-A5v7xv4-n0Hx1Jwe3ogxpLXa7fqEp7Exj7yRmrKmQ2p0Gy_lTRs83SYsXJyA/SueJLBXdflqg78KaCbva9ytZgC0msIsMs-7lyxg9bp0),2002.004.BMP.BrHon-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/UTCgraTEEX_LFgd8k-URlA/CF2-lovSVXnzo1QLgIRTOKhnBJED6MM4ljDvHHccFD1WpT15WRTnkwJfjbS0247KS1gR6otdgeYrdeG3ELFn6A/J4V29DVxfvKQAlcMqt3YCSwAgBc-6Cl3VRUDQ9EBK34),2002.004.BMP.BrHon-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/jbjG5mJrH-RVN4QBaQd_2w/fbwOjk5yIwI4Sm0NokC6MuYIc_TE0vRena-4x1zkbMpl7fJkw68dReD-99ZWkWiIx-da01eMZ3Szwro542vXNw/C7LnUulP8Gt4T7E3jM3sEjrGWbWjIkUeDBNj9DBq7Gw)",,,5’ x 31’ x 31’,Female,,"Rusted (not sure if that is the nature of the piece, however)",,,,,,5,North Roland Park/Poplar Hill,Greater Roland Pk/Poplar,7475,,Condition assessment (2005),"Rusted (not sure if that is the nature of the piece, however)",,39.3648345,-76.6301148,12/4/2022 10:19pm
,Willow,2002,,Missing,Martin Kline,Sculpture,,Private Property,,,,,,,,Baltimore,MD,,"Levering Courtyard, Johns Hopkins University",,,Outdoor,bronze,,,,,,Male,,,,,,,,,,,,,,,,,,12/4/2022 7:46pm
2001.001.BMP.LyKis,[Unknown],2001,1904 McCulloh Street,,Lyle Kissack,Mural,in place,,,,,,,,,Baltimore,MD,21217,,Side of building,,Outdoor,mural,People in community,"2001.001.BMP.LyKis-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/R58IUiHT_Hcj8CwZfqhdIA/74AH8FDWGym1g5XBtlCQPm_32_Q-R_YbIK-Z_7zKETKNNYtGi8xSyHLXVWVngLYKd9aDI64jSJzjFTvtc7Q7DQ/S85y7fbZKG5DpyvgexVLU78M9cDOnlfY9q6DSLm2s_Y),2001.001.BMP.LyKis-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/-gzlMklN94DgFKsbTWNn9Q/4y3Y81BT_3WbXcU0iRtADgKtzaPFcqiGN99dnOb_wcYJk_FSiBZZYM86w1N4VBEVppgVFE4BBerw9DCx8dbEkg/2bYM48pivhENB6pgfcwdUKorpIxCMeQCX3gMTIzqgFA),2001.001.BMP.LyKis-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/bFNX4-tXAVa7qZvrd5k-JA/CSU2SBxs3n312NFfN8qMVkiW6kVdGmiF94VTnlPfdd8NMWZzAiBt-bRBDMm1qsDKDBvj6DYAtx4Rld5eRem7fg/k5032IVFJLar1NC7ZHEr0pE7hClwNsa-AjlKlzSSSnM),2001.001.BMP.LyKis (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/touiMkuVwCC-PBQB9Ui-1g/a7GLLHiLkrQydZRloBUspMcskRV9U7MI2wFTf258qCdVASfI5QZ2FTt99cPl7PKO/PDeHzukoFwjcX26CmJN5GxwkIhrdfNGjkAImCzOwo80),2001.001.BMP.LyKis.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/82NBE5QGdtar1dLaPWAPzA/5eHNDYTuoqTCikmH3JLESFWmdNfsoscRwOQmXNGWkypkvnhu5fE-sOW1iATkqmwZ/UegqtHALEtCm7oG4OEstWanvD31WkTcn-Sj69v-YEtw)",,Excellent condition; mural enclosed by a fence in a park area,,Male,,,,,,,,11,Druid Heights,Upton/Druid Hts,1346,,,,,39.307274,-76.633923,12/4/2022 7:45pm
2001.003.XXX.JaVos,[Unknown],2001,6101 Old Harford Road,,James Voshell,Mural,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,6/1/2001,,Baltimore,MD,21214,Hamilton ES,,Hamilton ES,Indoor,,,"2001.003.XXX.JaVos-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/ICLdtXogOJzm9OHHZgskyw/qxfieliAxRuBb-soIi7G4-EnyzWmrWTpp9W3TKVRlsR2q7aXHrT9AUFR94GpAS_N9t62naWl-kMz4V2sc7AM-g/OI6SjSi9LhGY7rwr3dcE_Ynv9M-UX-X_al6nJTcIceI),2001.003.XXX.JaVos-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/rlJ4StY7KHkb1nBQvPYSzg/Y5KH6pUu6XQhfp0Wreyc_oM_wwPlr3tIGvakU6rAq3MSGa4FCB6Bk4aAnTjPWPV-Agst52rIaww2Xnj5RofWJw/l4KxSxX8CqbJZ-9jPbzjKdDNOxCvmInfZaQXRXEETXU),2001.003.XXX.JaVos-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/c-7OKc0i2G6Jpm9KE5bgAg/96mVNcvN0EdJn8JP-eQdMLjrgR95WXBf-AXteIWeWyqnjWjNOzGB0PpOtP87DBgNhyedzMfeC-F4MK18wMH9gw/bCBe0noTtQU-Y0b5pv1OAe_LwNRMRAlCSdh8is6IjJE),2001.003.XXX.JaVos-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Szp91hGcR3frOUMKCR2X4A/vGtopQcvkqYpkBiafnS4x-i6D_mxvP6-lOwKN6Qd8dkKXYDtgydHbkblAqvvopy0kPkpIY-as8i_fkDy_jKX8w/fjcXnWsW5En0GP19cZQQdcKGsH0BZHgSgJwPQHU6Fk4),2001.003.XXX.JaVos-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/L_GwPamSVGg__8FZmVHO_w/zw8lEz87xjRCfgVBTe1anQlnkhVImSUxdSsQ-9IV4UDAkr-QBibbdZlbrst103O4oz6MLKvoHDfV5Yi3PLGapQ/0BnPchxZWAceuOp5nEYOnJkfmdDOn6myTAwCAgfcqhc)",,,,Male,,,,,,,,3,Westfield,Harford/Echodale,4608,,,,,39.359801,-76.557681,12/4/2022 8:20pm
2001.002.BMP.GaMul,And Still We Rise,2001,N. Stricker and W. Franklin Streets,Intersection,Gary Mullen,Mural,in place,,,,,Community youth,,,,Baltimore,MD,21223,N. Stricker and W. Franklin Sts.,Side of building,,Outdoor,mural,"Depiction of the African American struggle to succeed, with ultimate success","2001.002.BMP.GaMul-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/KD4Q_w5UHMnToaLCr4I6kA/eRIlgG0fKIxq0j3YZd5RTYcpYutX5m08c8jzFPC96BON3V6kKEQJVExGLYo0la6jRyJ__WxA5gaSwE6C7FpLhg/jLPQJ2yg38VLJGqlykClBY2Y32SfrwrIVUqodYljmTc),2001.002.BMP.GaMul-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/KDcB2359vZJVnA8AMsTreg/wINcNclIsBf2Qa_ZB6aRyDmXGqf0446DwVhQ7JAB83z6hsouSy0A5eM5CWDVaVUeBrcSt_m3Q2NNOb3d7Z1-Vw/aYQ_eLygDq_pad6Nd5gS6NkGHXqpQf_xIO8wb3mOdhY),2001.002.BMP.GaMul-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/_dDAIvPtxIxpvQHPXLcyBw/VFtsN5tJWrerSPjlVsSUzS9zxXZstQvCwTA1QvuLg3zNzflmFDvQlCLEmzltpvcco0OG6fcQn2-A6e_zYCuxLQ/1M9BpDodNmVY6hMsBPPI3XPCH9D6tdVSXJQNRoLORkI),2001.002.BMP.GaMul-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/z2szIjVtKhiTeaNrBQr-yg/szlz0E6WLv4fCHe-X8zdzg3vIJ3kgWQerlbXnrYPanIUG3LzDGNgQNIxCG1MJou-ZpuyZ7BlDRvcPo2aW5aqNg/zPM7shzZV0-blW8CoYTEhQ53AolKehRVT7e1AbG-5vw),2001.002.BMP.GaMul-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/hvqnP2XBIczpJEI56OJ2PA/WwI4_bTEZ2tC6rcW6zmXEWqQctB5SlXIentWOjbFwoyZcDKc8cU9XiXWNGUq0N5SzxftbdhCMWh_tRXwMTuaUw/49Iv7ydbcWtggwqPXtLaItb-UGTeUzgZeGiBIxExHz4),2001.002.BMP.GaMul (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Q7PJ4m3jYCx8uqHtOL0Wag/w9vBTdtdDp1FVesQfvp3Zh4bDTkFKcnqPJdeiO3bXeH4D0H4Fb9WEBZrrenph3kc/vRwJyGoqBlHWdCINqshgOxL-HMZHwrdGzBaJO7pPUPI),2001.002.BMP.GaMul (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/HeKQQtOOa9vCCqdY2jgMSA/vyJusfdC6ZYI29Ki326oVSq1Cz_wq8GKLa4GYLMqwEP1hZdY0B8nBDMr5oa-37F1/xWxpnDouOVzs9K8ImtoVUQO_k-oPrhDDtvOF3uM6xq4),2001.002.BMP.GaMul.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/N-ztuRzgb0x5bgM6qWvYuQ/xMnRfSVG91R0VwcCzS8rv1jEmqa61LYyfi6UR6VDrAhpWHqKSiHQuUlcd4uKGoBw/XP9AYnTZpwWVGQiWis7s0b3LZf3_HwTEQvBCd0Lbv_E),2001.002.BMP.GaMul.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/idDfpxSRYAKej9iNpHBssg/CyqW9xgBe63AIydb1kDoLu237yQRjHjywxOUVQZhiL_q8l4Hxr0yc2xbhnAciCGE/pXLm7Ooc3ti0a78TKJlo7wRRPymF97jUlffTXjQI0T4),2001.002.BMP.GaMul (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/cFRgyZ8uCnEFMFf_m80IZA/__T1WfecIZrCVvtVAI7W9MGq6cjESkVQbLdcxGOMMD7LtK76xlTJITvMOqdbzPW8/LNer5zutwVPaH5c9f6zJabZlZQ4hpHWIhz1TFWE7Ltk),2001.002.BMP.GaMul (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/l7Z6LKhMFDiyJjkNINEDSQ/C5wh_baBuqlVJW2RE8igXfUHT2JiwK9CHA_n7X4uLjRgwEmaym4ESrszHOQM9yMA/BzoGljwpoJcfKJx0TrLs-I9tnhTn7TuBp_7BcfngcEw),2001.002.BMP.GaMul (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/WmM1NH4Y5YrQZ18OLlIV-A/2lWtwAPpd3tZ8ZTBEU0vBLmEQg0l_9cPL_KSyo791FwOuvjHo_vDTtiUlP0LnqDw/zy5u0J87t4uKfhL65Xp2tMqB7DQWiAow-xUkJQQ7-Fc),2001.002.BMP.GaMul (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/3YPCibyKyl4eOLD_NHNEbA/MmMWOzkxkrM9eI6GucAJFgzyI2paRLh48kHC8FQPBpXGQWAaI4unIX0NIbK_h3gj/Nh-ozNkf43uXHZjwbXgRy4c5J1kaygE6cJPPbFtKsKA)",,Excellent condition; mural enclosed by a fence in a park area; area is well kept,,Male,,,,,,,,9,Harlem Park,Sandtown-Winchester/Harlem Pk,4178,,,,,39.294226,-76.641522,12/4/2022 7:45pm
2000.007.BMP.GaMul,[Frederick Douglass biographical mural],2000,1103 Brentwood Avenue,,Gary Mullen,Mural,demolished,,,,,,,,,Baltimore,MD,21202,Brentwood Avenue and Chase Street,Side of building,,Outdoor,mural,Images of Frederick Douglas and his struggle for knowledge and an education,"2000.007.BMP.GaMul-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mSRLfYmBfdbudtwlgYDqhw/ffksGuT6Sap1pZHfJhbAFiY-OMtCNcgbgCd50dKgfACKQHT0vXLeVfbTkU66rdfkjoIxBcrzuMbDRgU4OKDOxA/rmSlIPo6mTwYFiqKpr6sf87mJmcIZk3sNlRxZGfHNfk),2000.007.BMP.GaMul-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/TQU8zlV3Hh7G0pl4ADqhiw/938ydjlxBIeEWxtlOSK4JLg7rbp_N69U0kPwGmCG7SIXRrvt3mlRYrYYwNX6GXQyJWc5nqHBB_9YpNuD8lSkvQ/LMKpncrT41t1jcbb5I2L_c455R8hzLPdZ19qpubfOfg),2000.007.BMP.GaMul-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/6M37UG2F6tIjT-z6aQNPRQ/UNHK7PXHM_dpNUaX6C71yF5xIEpSMTH8kzEPrc2fpkn4lxOOIddkPP28OpPGG5aIjN8jJxgg7jEtZWo69q4UdA/8ogAXwc_PhRmRBr4K0j7qNgEO1kko85CUKdUc-LKCaA),2000.007.BMP.GaMul-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/KfqzN1gKgPEp_OlKpZVJ_w/CzWdgmtm88mD0e0NrSDiBo5ByjL_BwTTNQNa_2Ak0a6_uQVrzWcADt-g_L-Wb8nnavkifcub5OaDLfp5eaIT9A/d4xR4a9ZZ52cxNsDF8oMyJWY1AtnovYvfqNrlUHTPjA)",Frederick Douglass,Good condition; mural enclosed by a fence and park and garden area;,,Male,,park and garden area needs maintenance,,,,,,12,Johnston Square,Greenmount East,1368,,"Condition assessment (2005),Demolition (2020)","park and garden area needs maintenance, Rowhouse demolished, destroying mural",,39.302916,-76.609379,12/4/2022 7:45pm
2000.005.BMP.ToMil,[Historic Marble Hill portraits],2000,1740 Druid Hill Avenue,,Tom Miller,Mural,in place,,,,Baltimore Mural Program (BOPA),MICA,,,,Baltimore,MD,21217,,Side of building,,Outdoor,mural,"Six portraits of community leaders, including T. Marshall, H. Cummings, L. Jackson, C. Mitchell, T. Lansey, J. Murphy","2000.005.BMP.ToMil-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/8GBNOfoXqFaV6vdqeW3cvA/NKX6ZJ9cF2TCbaglx0X6nZxwjMOxkRdiwG6T3xCrSaydgJEw_OMYEQiXabj3knI-B4g1VkZVBllgS4wCJLCgWQ/APFe_0_3mTgxFxj51aqExDtlNOO8XyBi8zw99aMZoXA),2000.005.BMP.ToMil-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/MzBBgFhHgHS4Qgk89j_VJg/6rtEGVyk5WaVsXYyfvHSWxye7-Zex_UuCA2Dg7k9sFDZ3rs7BmPIbj6TS4CVCB_06BCZsbWXr8gHzW2gKwFMLA/8UXsys1kn6jaanuGlDCHf_G7_Fvn1gH0W0BO93vBU90),2000.005.BMP.ToMil-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/7bhPK5bynHZ6Q5dFhFwU9w/FElZVyPVVGMbopt_Z031uMxI-_DPZce5NPJqoVaVdQUYOhM2VGYFLs5_HupRaMLXAxofWTllw1FgQ4QRmdWa4w/19jAsG5T7MvSXSRCGPbfWq-Ppn9SEt1ZjfiACjgOBxQ),2000.005.BMP.ToMil (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/9J-QUmafNbVfw0Zgz8pybg/eG5yNrVONCsMDwiR-1IBG9ShXKymSLxh_2i4Uro3CmESOquXF5ASpgW_BdIef5EU/PJjCMTd7tfKS9Xiv8HjwoW20eTPRkRqqzP7DtR_RqOA),2000.005.BMP.ToMil (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/SPW01vO37O6brks-lOzuvg/6lh_V4u0PyfaE-meoVQ1V3ibOpLmALSq1nFAhApxibv87HxdCLD3njqAe1yTIRCw/BjYeRpDMwnZRyGrBw0oJyU5R4xqsW8-bZ7rzTQqJCk8),2000.005.BMP.ToMil (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/kN_zrsNA5eBle6Z9IB7InQ/56WI_xCGn3pAWmrNP4vcNsLPORrX3hOjwKDc4upfZJay0z8-15DGVDMKg7qVy-uF/byNEl6Xy0T3GO3E033Qn-H0Qa7-7nlTxku95BHzA60c),2000.005.BMP.ToMil.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/50v_aqxlzozt-XPthlLDqw/GCZMrVuNHJWVYMYTPdVpp3uM7h1lRXRl46ORtWB2_fw_4iH80SJP7AFJx5-LEYH5/duf_vKkYrvkh-4qi-j1rBHHRc-FsDkrO-ebQ3TLOq0U)",,Excellent condition,,Male,,,,,,,,11,Upton,Upton/Druid Hts,5679,,,,,39.305746,-76.633444,12/4/2022 7:45pm
2000.010.BMP.ToSho,[Unknown],2000,900 Ostend Street,,Tony Shore,Mural,missing,,,,,,,,,Baltimore,MD,21223,,,,,mural,CAN NOT LOCATE,,,CAN NOT LOCATE,,Male,,,,,,,,10,Carroll - Camden Industrial Area,Washington Village,5803,,,,,39.2787609,-76.6323005,12/4/2022 7:45pm
2000.008.XXX.ErSha,[Unknown],2000,1207 E. North Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,,,,,Baltimore,MD,21202,,Side of building with park,,Outdoor,mural,,"2000.008.XXX.ErSha-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/1iklOryvoodvEEbnBfuMKw/hj0fBnhldgPuzRPu1lC85_QMfocoJa7bgPMD7ae_SgqznuxK3YyJ_4wY-LHus0NPDvZi2C6gN6zxK15J1cgk2w/4PjOwO9cxwK2eeKeseoxSPg2FhfcBtq_beSxafDECMY),2000.008.XXX.ErSha-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/zaWeBbKLJta27XgPDdVIdg/igfg_2ioTOhQTzjFSYZ-qLndgZG01mXJSQS7-wISXfb067aOehfLyMezIBrS8AarDOwmUkyxhHHZycCjnbXK9g/8FzGHswXqJipGsNhdgxdnSbNSLjjXyYiAAGXLwSinIM),2000.008.XXX.ErSha-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/lS8Is5OeEP17_pYpP5iSBA/DbG2U6Mkc2UMNVZ0pL8w64pGMJ-3Grwl_iBJzEAAgiO4JR4VdLmxLXvnDhI4w7Kf4GR_biwrIgyq38DdZUanzA/isQdhetNp92HHuenvT0sijMLG0I3cixPrJ4t8YlOhCo),2000.008.XXX.ErSha.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/d27UDbAf_4GH6l6ylwiA8Q/W8X_VExuoA-1fVJT2BAMrYAdGflpw-1GQcgpBQlLJ3ExMzwIJa5-96yRG8PPu4OX/5ZvyZilXQzXIN9oMk-VaEm90tGRF9SAjpFLEfGW7ctk)",,Excellent condition; mural enclosed by a fence and vacant lot area covered with mulch,,Male,,,,,,,,12,Oliver,Greenmount East,6581,,,,,39.311610,-76.602351,12/4/2022 7:45pm
